"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125","bin126","bin127","bin128","bin129","bin130","bin131","bin132","bin133","bin134","bin135","bin136","bin137","bin138","bin139","bin140","bin141","bin142","bin143","bin144","bin145","bin146","bin147","bin148","bin149","bin150","bin151","bin152","bin153","bin154","bin155","bin156","bin157","bin158","bin159"
"CbMPDiCbraya","Niche","Rootzone","HeS","0","0.00374542854795036","0.0434910737367224","0","0.00704801392448795","0.00685766093059394","0.00219376502482736","0.0134541454178462","0.00147445162169102","0.00183486812547188","0","0","0.00790819817434911","0","0.107402069783025","0.0384843112820053","0","0.00840440867912486","0","0.00311843652610956","0.0326682573792361","0.0061843284111292","0.0578021971169277","0.024919305756537","0","0.0182188830335244","0.0293284097479376","0","0.0109487600987336","0.0339366226146399","0","0","0.00518524681566169","0","0.00595378110868395","0","0.0083126357574463","0","NaN","0","0","0","0.0165833590590594","0.031997637047372","0.0164248231339637","0","0","0","0","0","0.145740256503778","0.00744417729874576","0","0.0205621793281773","0.0598716586761624","NaN","0.00939959143145033","0","NaN","0","0.00846174589813403","NaN","0","0","NaN","0","0.0252508662323368","0.00396626316712475","0.126638897890041","0","0.0312482065523884","0","0","0","0","0","0.0197348033628128","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0.239465245976764","0","0","0","0.141237913911609","0","0","0","0","0.039727948425128","0","0","0","0","0","0","0","0","0","NaN","0.0477360301378144","0","0.114025744441947","0.00857419044282081","0","0","0","0","NaN","NaN","0","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","0","0.011656087602368","0.0156873604446264","0","0","0","0","0","0","0","0","0","0","0.00183676832140717","0.0104212135724288","0","0.00562141819995603","0","0","0.00155854844674691","0.150947096544254","0","0","0","0.0631744899410319","0"
"CbMPDiCbraya","Niche","Rootzone","HoS","0.0372135652418156","0.217193502466322","0.253838656583943","0.055498109026734","0.151524822604822","0.499349185514525","0.281282909162826","0.84354573163689","0.292772925069327","0.0751856036663034","0.068693991111329","0.0451079621773404","0.536680569276232","0","0.109552698074603","0.0712892285169326","0.0176062169976495","0.268436686123844","0.915925866773262","0.0195069889352766","0.00777620579721834","0.0130919057579503","0.0324470176362949","0.923615162172675","0.0075729879663688","0.0594813874133491","0.780781279836901","0","0.25807777322498","0.0712376615080514","0.252172553222363","0","0.402984618903688","0.0249645305370179","0.0610006195123421","0.168261027970129","0.269980249977546","0","NaN","0.00636113592896127","0.105263157894737","0.0448393630090451","0.0490277324025965","0.956504171610872","0.983575176866036","0.310589809216617","0.673967991516406","0","0","0.148386411105667","0","0.0597821063836022","0.000427888498968645","0.679904872856417","0.158904928448001","NaN","0","0.00773683456804417","NaN","0","0.278097901929656","NaN","0.123588077721154","0.00305995374639574","NaN","0","0.393216063951109","0.0136991808550544","0.0065802412534528","0.0643319228004706","0.00657994939739707","0.0631639659580546","0.0568445988573488","0.0147736033032417","0.344649669837871","0.0770265737603352","0","0.622102409405984","0.00928714206966207","0.00200146149976342","0","0.0416126788988336","0.00857040941374844","0.12889458029107","0.00622662068925142","NaN","0.0297062125328008","0.0118862945937218","0","0.276314331613601","0.00751951974185157","0.0307649431515607","0.0166832448412423","0.0341451163710182","0.0160715818318145","0.042429293410919","0.0140309370563815","0.416450823441342","0.0445422967754734","0.275586104647471","0.291508452139787","0.214401802499439","0.0293694573545216","0.119036018364393","0.279172980712385","0","0","0.0248661426313326","0","0","0.0443244038712285","0.0315803214212942","NaN","0.0333227952733762","0.0650988874874608","0.549071054655413","0.00785943208871476","0.0291834281216558","0.0032587648275586","0.0334938962054437","0.376848419130188","NaN","NaN","0","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","0","0.832027062198032","0.389549833254764","0","0.959481349899033","0","0.0055781828680588","0.599122880859601","0.00489335025713149","0","0.622781670829442","0.280488412955463","0","0.379950339593762","0.157636678969756","0.0468599777923309","0.102465485278665","0.0144947259207885","0.000600817110463459","0.417713321988819","0.833503607313381","0.663591756189663","0.0209105782527906","0.305013170051685","0.00210839379369711","0.00447242762896127"
"CbMPDiCbraya","Niche","Rootzone","DL","0.216305175697929","0.0508235482537385","0.452694128791344","0","0.304440504213626","0.305994293147208","0.583947647088081","0.0815102830913288","0.636254913789311","0","0","0","0.102797613703562","0","0","0.634630249084825","0.81767112935526","0.650915607466944","0.00437788773594551","0.645752015721437","0.0946294886086633","0.561793630076018","0.645387020420967","0","0","0.749787128492961","0.144579896719212","0.714024091657651","0.476359259184139","0.665853303370749","0.142855061740779","0","0","0","0.650348728377857","0.322922822064958","0.253100715932664","0","NaN","0.950607444008208","0","0","0","0","0","0","0.0703200325460596","0.873871625305519","0.522620705079324","0.268100440562691","0.575688905478012","0.627784677715065","0.101824831760236","0","0.0122227499712979","NaN","0","0","NaN","0.683812830064226","0.370074514900187","NaN","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0.410743060851942","0.0234943975848901","0","0","0","0","0","0","0","0","NaN","0","0.0305602268940058","0","0","0","0","0.671532058576164","0","0.578113319423062","0","0","0","0","0.0480625268303958","0.502187472198632","0","0.521312728659127","0.245470667833021","0.082010282830924","0","0.96804777575823","0.789210160525863","0.0305602894385861","0","0","0","NaN","0.785114953556311","0.357748711222018","0","0","0","0","0","0","NaN","NaN","0","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","0","0","0.178611311132792","0.832060302618654","0.0325855328020944","0.449784928411769","0.549093559355069","0.311408938717198","0.404743628092412","0.373341658986307","0.25624686944227","0.0392726790513202","0.545706194740032","0.390930328888869","0.435175026452363","0.855022802572031","0.735007253497706","0.629984239332795","0.180966003430675","0.544313694350714","0","0","0","0.5058265266621","0","0"
"CbMPDiCbraya","Niche","Rootzone","HD","0.00516444655023589","0","0","0.00297996654434448","0.0907207345789419","0.000430293822107078","0","0","0.000835381623425671","0.0229776641845054","0.161459011115889","0.0150340455742991","0","0.679424702883438","0.00107403380753949","0.00590846549570283","0.000456532051509707","0","0","0","0","0.000444400278260277","0","0.0183543651375597","0","0","0.000317207455217203","0","0","0","0","0.0694605709900019","0.135549548505985","0.0304787329231629","0.000112324047287594","0.00279141761307263","0.00529810369533635","0.438592913841873","NaN","0.00117077872169523","0.78945489714012","0.00194949513875349","0","0","0","0.292815744812954","0.00802734962400501","0","0.00366883311573724","0","0.00354525512116808","0.00271103418075117","0.0201120517495805","0.0396186271019071","0.00848115038683463","NaN","0.244373278370003","0.822215041229169","NaN","0.000126757862062553","0","NaN","0.17857718782164","0.0330451545235115","NaN","0","0.0667673452065573","0.00360619394572985","0.120073884124954","0.380132961263273","0.185873319783424","0.00451171185414676","0","0.00738783731624354","0.241086059276872","0","0.00187979711103863","0.01742665818852","0.148609236199704","0.193732781024638","0.0764140483597139","0.128507559219332","0.122420503944471","0.824917272008152","0.0226420725378755","NaN","0.81217376195241","0","0.189471623560443","0.00548265862091806","0","0","0","0.00995797691555596","0","0.205270013837122","0.000767954159574975","0.00374539568313298","0.00101221043100931","0.00200991938321655","0.0113282751255823","0","0","0.00545178813442883","0.00534395167538225","0.0194665744422762","0","0","0","0","0","0.0021049197117943","NaN","0","0.00334827742631764","0.0345243898177615","0.00428706621618706","0.391070958681221","0.55366358615089","0.310988199595191","0.0321056668967838","NaN","NaN","0.0526315789473684","NaN","NaN","NaN","0","NaN","0.736842105263158","0","NaN","NaN","0","0.0696647853103596","0.019019217498527","0.00648916623800469","0","0.000616156243187287","0","0","0.00595340932823107","0.00255393690700728","0.000507259502282582","0","0.00276613133777416","0.000295652057791843","0","0.00249980580172649","0.0177648547212587","0.000500428276783743","0.00276377341391678","0.00103894879834334","0.0074293510960044","0.00204794164326494","0.296136756992308","0.0127054289898382","0.0127694529007263","0.00989054702585603"
"CbMPDiCbraya","Niche","Rootzone","DR","0.741316812510019","0.728237520731989","0.249976140887991","0.941521924428921","0.446265924678122","0.187368566585566","0.132575678724266","0.0614898398539353","0.0686623278962453","0.900001864023719","0.769846997772782","0.93985799224836","0.352613618845857","0.320575297116562","0.781971198334833","0.249687745620534","0.164266121595581","0.0722432977300867","0.0796962454907924","0.331622558817177","0.864926048214882","0.418485735476643","0.26436376482581","0.0331111669332281","0.992427012033631","0.172512601060165","0.0449932062407327","0.285975908342349","0.254614207492148","0.22897241250656","0.604972385036857","0.930539429009998","0.456280585774665","0.944556736539819","0.282584546953829","0.50602473235184","0.463308294637007","0.561407086158127","NaN","0.0418606413411358","0.105281944965143","0.953211141852201","0.934388908538344","0.0114981913417564","0","0.396594445970429","0.247684626313529","0.126128374694481","0.473710461804938","0.583513148331642","0.275025582897042","0.302278004421836","0.877635227991215","0.259914320713499","0.760519512517704","NaN","0.746227130198547","0.170048124202787","NaN","0.316060412073711","0.343365837272023","NaN","0.697834734457206","0.963894891730093","NaN","1","0.514765724609997","0.978728362032091","0.746706976731552","0.555535115936257","0.776298524266791","0.932324322187799","0.943155401142651","0.977838559380515","0.414264270885257","0.512230365387723","0.954891001941258","0.360470932405496","0.842103621730634","0.804265757475599","0.923585951640286","0.829879761881834","0.869009086641781","0.0461881477007774","0.971131306772873","NaN","0.158120025514789","0.957553478512272","0.810528376439557","0.718203009765481","0.992480480258148","0.969235056848439","0.311784696582594","0.716431660736662","0.405815098745123","0.752300692751959","0.985201108784044","0.438565866963916","0.954445492793517","0.674341449138917","0.194975800535999","0.785598197500561","0.409589865561224","0.630041525668157","0.633472784781309","0.980533425557724","0.0319522242417699","0.185923696842805","0.969439710561414","1","0.955675596128772","0.966314758866912","NaN","0.133826221032498","0.573804123864203","0.302378811084879","0.979279311252277","0.579745613197123","0.443077649021552","0.655517904199365","0.591045913973028","NaN","NaN","0.947368421052632","NaN","NaN","NaN","1","NaN","0.263157894736842","1","NaN","NaN","1","0.0866520648892401","0.397132277669291","0.161450531143341","0.00793311729887261","0.549598915345044","0.445328257776872","0.0894681804232006","0.584409612322226","0.624104404106686","0.120464200226005","0.680238907993217","0.451527673922194","0.22698691113817","0.396767081005453","0.0956174138339119","0.139140988302414","0.355020606469633","0.815669406044945","0.0353754864153775","0.0081199450463609","0.334360302167072","0.682952664754902","0.176454874296377","0.921947663364545","0.985637025345183"
"CbMPDiCbraya","Niche","Rootzone","DominantProcess","DR","DR","DL","DR","DR","HoS","DL","HoS","DL","DR","DR","DR","HoS","HD","DR","DL","DL","DL","HoS","DL","DR","DL","DL","HoS","DR","DL","HoS","DL","DL","DL","DR","DR","DR","DR","DL","DR","DR","DR","","DL","HD","DR","DR","HoS","HoS","DR","HoS","DL","DL","DR","DL","DL","DR","HoS","DR","","DR","HD","","DL","DL","","DR","DR","","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","HoS","DR","DR","DR","DR","DR","HD","DR","","HD","DR","DR","DR","DR","DR","DL","DR","DL","DR","DR","DR","DR","DR","DL","DR","DL","DR","DR","DR","DL","DL","DR","DR","DR","DR","","DL","DR","HoS","DR","DR","HD","DR","DR","","","DR","","","","DR","","HD","DR","","","DR","HoS","DR","DL","HoS","DR","DL","HoS","DR","DR","HoS","DR","DL","DL","DL","DL","DL","DL","DR","DL","HoS","HoS","DR","DL","DR","DR"
"CbMPDiCbraya","Niche","Rootzone","DominantProcessImportance","0.741316812510019","0.728237520731989","0.452694128791344","0.941521924428921","0.446265924678122","0.499349185514525","0.583947647088081","0.84354573163689","0.636254913789311","0.900001864023719","0.769846997772782","0.93985799224836","0.536680569276232","0.679424702883438","0.781971198334833","0.634630249084825","0.81767112935526","0.650915607466944","0.915925866773262","0.645752015721437","0.864926048214882","0.561793630076018","0.645387020420967","0.923615162172675","0.992427012033631","0.749787128492961","0.780781279836901","0.714024091657651","0.476359259184139","0.665853303370749","0.604972385036857","0.930539429009998","0.456280585774665","0.944556736539819","0.650348728377857","0.50602473235184","0.463308294637007","0.561407086158127","NaN","0.950607444008208","0.78945489714012","0.953211141852201","0.934388908538344","0.956504171610872","0.983575176866036","0.396594445970429","0.673967991516406","0.873871625305519","0.522620705079324","0.583513148331642","0.575688905478012","0.627784677715065","0.877635227991215","0.679904872856417","0.760519512517704","NaN","0.746227130198547","0.822215041229169","NaN","0.683812830064226","0.370074514900187","NaN","0.697834734457206","0.963894891730093","NaN","1","0.514765724609997","0.978728362032091","0.746706976731552","0.555535115936257","0.776298524266791","0.932324322187799","0.943155401142651","0.977838559380515","0.414264270885257","0.512230365387723","0.954891001941258","0.622102409405984","0.842103621730634","0.804265757475599","0.923585951640286","0.829879761881834","0.869009086641781","0.824917272008152","0.971131306772873","NaN","0.81217376195241","0.957553478512272","0.810528376439557","0.718203009765481","0.992480480258148","0.969235056848439","0.671532058576164","0.716431660736662","0.578113319423062","0.752300692751959","0.985201108784044","0.438565866963916","0.954445492793517","0.674341449138917","0.502187472198632","0.785598197500561","0.521312728659127","0.630041525668157","0.633472784781309","0.980533425557724","0.96804777575823","0.789210160525863","0.969439710561414","1","0.955675596128772","0.966314758866912","NaN","0.785114953556311","0.573804123864203","0.549071054655413","0.979279311252277","0.579745613197123","0.55366358615089","0.655517904199365","0.591045913973028","NaN","NaN","0.947368421052632","NaN","NaN","NaN","1","NaN","0.736842105263158","1","NaN","NaN","1","0.832027062198032","0.397132277669291","0.832060302618654","0.959481349899033","0.549598915345044","0.549093559355069","0.599122880859601","0.584409612322226","0.624104404106686","0.622781670829442","0.680238907993217","0.545706194740032","0.390930328888869","0.435175026452363","0.855022802572031","0.735007253497706","0.629984239332795","0.815669406044945","0.544313694350714","0.833503607313381","0.663591756189663","0.682952664754902","0.5058265266621","0.921947663364545","0.985637025345183"
"CbMPDiCbraya","Niche","Rootzone","DominantProcessPvalue","0.02","0","0.49","0","0.28","0.29","0.1","0","0.23","0","0.02","0","0.3","0.14","0","0.22","0.42","0.05","0","0.09","0","0.26","0.09","0","0","0","0","0.22","0.25","0.03","0.03","0","0.35","0","0.19","0.32","0.23","0.38","","0","0.04","0","0","0","0","0.38","0.06","0","0.47","0.02","0.05","0.06","0","0.1","0","","0.13","0.01","","0.09","0.59","","0.11","0","","0","0.28","0","0.02","0.19","0.16","0.02","0","0","0.36","0.37","0","0.16","0.02","0.06","0.07","0.09","0.25","0","0","","0","0.01","0.13","0.04","0","0","0.17","0.03","0.34","0.04","0","0.48","0","0.04","0.31","0.01","0.37","0.02","0.08","0","0","0.03","0","0.13","0","0","","0.07","0.26","0.18","0","0.36","0.37","0.24","0.1","","","0.36","","","","0.04","","0.38","0.34","","","0.41","0","0.48","0.05","0","0.42","0.36","0.05","0.23","0.19","0.07","0.05","0.43","0.56","0.5","0.17","0.28","0.28","0","0.25","0","0.04","0.14","0.4","0","0"
"CbMPDiCbraya","Niche","Rhizosphere","HeS","0","0.00402941742907155","0","0","0.0918413907112869","0","0.133007371682815","0.0763131946937887","0","0","0","0","0","0.0526337258497099","0","0","0","0","0.16867548370986","0","0","0.00387997410757691","0.0554127883491426","0","0","0.0491657535223019","0","0.00442940505180654","0.0245242104883145","0.125297947834803","0","0","0","0","0","0","0.00797460846838735","0","NaN","0.126132375529047","NaN","0","0.00224004655315122","0.0885937410107089","0","0.151242060612552","0","0","0.000183413918035475","0","0.00549612664422044","0.079774184505014","0","0","0.0498540050315153","NaN","0","0","NaN","0","0","NaN","0","0","NaN","0","0.407138476523515","0","0.0350866700472239","0","0.175444796828168","0","0","0","0","0","0.0421051894818786","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.152823952217763","0","0","0","0","0","0","0","0","0","0","0","0.367736300797977","0","0","0","0","0","NaN","0","0","0","0.022627761298939","0","0.00116110430089124","0.0833775783089287","0","0","NaN","NaN","0","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0","0.0265605143724505","0","0","0","0","0.0160571571213824","0","0","0","0","0","0","0.0389357822803266","0","0.538658681218811","0.0395020847886791","0.461872510044874","0.0259163897003091","0.272407678352103","0.000764598838625277","0.118418122951111","0"
"CbMPDiCbraya","Niche","Rhizosphere","HoS","0.0133973068700745","0.0794877595002838","0","0.107859043616596","0.543256518696594","0","0.058316751421922","0.836112222115272","0.00120799724018887","0.463195152947902","0.187671302141176","0.0526315789473684","0.162621259320599","0.276336453418246","0.0405978735004388","0.0737380606577446","0.0114413635649537","0.272302925318209","0.573738293268683","0.0482255383693072","0","0.113573358900568","0.0927961829798092","0.969964072347892","0.0101049313396172","0.0720771698704964","0.132463201467204","0.147747829531797","0.236426879678677","0.0629147833624047","0.122383950893693","0.0646155095816295","0.770136300809286","0.100164016589385","0.128258742531035","0.0278643221100568","0.410902756163724","0","NaN","0.0426023146131469","NaN","0.0441181948412225","0","0.816396283154572","0.991872796368239","0.335455051673327","0.603667234998067","0.0171176184528778","0","0.0858883171133021","0","0.19574174557894","0.0129385579870593","0.350789163207794","0.581113624363543","NaN","0","0.248162190451359","NaN","0.0586283801289078","0.109236665632646","NaN","0.0155938264700147","0.00514858679080269","NaN","0","0.110265526515104","0.0723710775937517","0.0140356132049499","0.0728736421956544","0.196488869598485","0.0100246220523023","0.0263155210170389","0","0.0230260139136619","0","0.294744912895341","0.513157906095732","0.0134382470034674","0.00212363233428806","0.124999050309891","0.0661629076015322","0.00222365766762737","0.0489165362456348","0.03250516871359","0","0.0163279667404567","0.00979202265339437","0.0315793767755987","0.240564733783637","0","0.0541296369266232","0.13159168174865","0.0107796798611817","0.0760887155087521","0","0.0180368972021847","0.0547384668417479","0.046052379981347","0.066114405393359","0.302508677302397","0.195856601591848","0.0352059565781748","0.083631250970844","0.501899336077594","0.0570140780143796","0","0.00779739967458937","0","0","0.0842092383149393","NaN","0.0292389709396186","0.000717416036686323","0.00335753650482969","0.476781244892179","0.0178941156671783","0.0665648151060981","0.0162870295561785","0","0.0773049872856977","NaN","NaN","0","NaN","NaN","NaN","0.105263157894737","NaN","NaN","NaN","NaN","NaN","NaN","0.960607103911083","0.347567688771612","0","0.824292312130027","0.3613354742269","0","0.452218634145571","0.0305856798597369","0.0303892439536034","0.263710503643439","0.488424623524629","0.000929696493691514","0.111394805450263","0.0337125274370353","0","0.683485562488219","0.00280771443458562","0.222769046288713","0.299164169856764","0.496815519351675","0.886849843814045","0.0815174212718498","0.305834219385954","0.482503996282815","0.000364252830249865"
"CbMPDiCbraya","Niche","Rhizosphere","DL","0.902626944811296","0.152916500876962","0","0","0.210935464419884","0","0.221137335760841","0","0.043084398013048","0.139274519899323","0","0","0.0315274523641094","0","0","0.0383569159858355","0","0.238724583294251","0","0.340709921028163","0.218005135613867","0.39499102283924","0.750635997232831","0.0297854630983031","0","0.666398513406694","0.379973763252273","0.714963172968063","0.191856365843923","0.614181065796883","0.720045916658058","0","0.0343500905435766","0","0.805040471344668","0.242248475102724","0.0242092274216017","0","NaN","0","NaN","0.516267111561117","0","0","0","0","0","0","0.405413905196284","0.118624860818391","0.367451021537863","0.230321311009629","0.581842507035266","0","0","NaN","0","0","NaN","0","0.21494301134611","NaN","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0.0330838580551762","0","0","0","0","0","0","0","0","0","0","0.0575288134097237","0","0","0","0","0.131372293851775","0","0.509205939053333","0.0890517781532203","0","0","0","0.556228846204509","0.474337161634579","0","0.7141796945417","0.290374828697833","0.0282094797092755","0","0","0.417554332240581","0","0","0","NaN","0","0.920700480716659","0.204999335394515","0.24512666987449","0.229124675989107","0","0","0","0","NaN","NaN","0","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0","0.12325209928034","0.928439577001671","0.093793190907486","0","0.469713867885799","0.262719589341645","0.746285994164512","0.386462958352799","0.627595756024885","0.282712161991272","0.411135313385753","0.0392948216204714","0.749799110284631","0.208714836496876","0.169661049502267","0.584420121882842","0.172532315099999","0.498282206382784","0.0055874813507827","0.0767389935728866","0.634758903393994","0.593970558019983","0.388401429843756","0"
"CbMPDiCbraya","Niche","Rhizosphere","HD","0","0.000104683356946375","0","0","0.0564393419356809","9.65553520076317e-05","0","0","0.121153506672717","5.23927230379128e-05","0.00816039786812857","0","0","0.207228389678808","0.00451101798269715","0","0","0","0.000214438352825603","0","0.00324918936471606","0.00297416874216591","0","0.000226828636003361","0","0","0.00350066882942867","0.00136543187163481","0.00626006273297094","0","0","0.0304688245695626","0.0268334183988729","0.00174205018154972","7.62992527959368e-05","0.00232271639586956","0.000538047048908201","0.305263844890171","NaN","0.048102142985527","NaN","0","0","0.000176011129522431","0.000561639335110384","0.040265086857908","0.0029290290563447","0.000450443699057028","0.00232335547940049","0.000368321032346846","0.0117535929188785","0","0.0155844146174671","0.093074473942068","0.00430903356633222","NaN","0.110532466367828","0.244665805207134","NaN","0.00458629736486196","0.00337943738061776","NaN","0.187136411604275","0.00343275680256304","NaN","0","0.130487087549928","0","0.168414897941886","0.101211970369334","0.0701751768787275","0.00250581055173262","0","0.0032896791536915","0.240129532759257","0","0","0","0.00223916356422155","0.0964682665963089","0.0460531560457989","0.0932356850736012","0.0222375141494782","0.447058762185769","0.04489131514071","0","0.306765028235062","0","0.0631570359154799","0","0","0.0045111020281227","0","0.00507276308691437","0","0.239913838706218","0.00147567824653769","0.0421049541336908","0","0.00105809618209845","0.00102994825648371","0","0","0.00446034708009936","0","0.0101203659027592","0","0","0","0","0","NaN","0","0","0.000296200618583309","0.00527454944777102","0.00947263136414722","0.169897202268107","0.193181282187045","0.578941643790678","0.0197370897547712","NaN","NaN","0.526315789473684","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","0.000628742980974426","0.000460485702236173","0.000424461704086845","0","0.00476473894833101","0.00102152619874315","0.00109073432207208","0","0.00586620096964222","0.000175116752025223","0","0","0","0","0.00249358663372438","0.00122908747668906","0.0004984120883728","4.28969691314484e-05","0.000383816200828573","0.0004927414492481","0","0.000356134407677437","0.00601582738770422","0.000303268405196887","0"
"CbMPDiCbraya","Niche","Rhizosphere","DR","0.0839757483186293","0.763461638836737","1","0.892140956383404","0.0975272842365547","0.999903444647992","0.587538541134422","0.0875745831909388","0.834554098074046","0.397477934429737","0.804168299990696","0.947368421052631","0.805851288315292","0.463801431053236","0.954891108516864","0.88790502335642","0.988558636435046","0.48897249138754","0.257371784668632","0.61106454060253","0.778745675021417","0.484581475410449","0.101155031438217","2.36359178019956e-05","0.989895068660383","0.212358563200508","0.484062366451094","0.131494160576698","0.540932481256114","0.197606203005909","0.15757013244825","0.904915665848808","0.168680190248264","0.898093933229066","0.0666244868715008","0.72756448639135","0.556375360897379","0.694736155109829","NaN","0.783163166872279","NaN","0.43961469359766","0.997759953446849","0.094833964705197","0.00756556429665072","0.473037800856213","0.393403735945588","0.982431937848065","0.59207932540628","0.79511850103596","0.615299258899038","0.494162758906417","0.389634520360208","0.556136362850139","0.36472333703861","NaN","0.889467533632173","0.507172004341506","NaN","0.93678532250623","0.672440885640626","NaN","0.79726976192571","0.991418656406634","NaN","1","0.352108909411453","0.927628922406248","0.78246281880594","0.825914387435011","0.557891156694619","0.987469567395965","0.973684478982961","0.996710320846309","0.736844453327082","1","0.630066039567605","0.486842093904268","0.984322589432311","0.901408101069403","0.82894779364431","0.840601407324867","0.975538828182894","0.504024701568596","0.9226035161457","1","0.676907005024481","0.932679163936882","0.905263587308921","0.759435266216363","1","0.941359261045254","0.737036024399575","0.83132360483414","0.414705345437915","0.671034383140562","0.980487424551278","0.903156579024561","0.953947620018653","0.376598652220033","0.22212421280654","0.804143398408152","0.250614348880125","0.621533573251223","0.469891184213131","0.565129255284884","1","0.57464826808483","1","1","0.915790761685061","NaN","0.970761029060381","0.078582103246655","0.791346927482072","0.250189774486621","0.743508576979568","0.762376878324904","0.707154109947847","0.421058356209321","0.902957922959531","NaN","NaN","0.473684210526316","NaN","NaN","NaN","0.894736842105263","NaN","NaN","NaN","NaN","NaN","NaN","0.0387641531079428","0.528719726245812","0.071135961294242","0.0553539825900369","0.633899786824769","0.529264605915458","0.283971042190712","0.223128325975751","0.561224439602573","0.108518623579651","0.228863214484098","0.587934990120556","0.849310372929265","0.216488362278333","0.788791576869399","0.106688518252498","0.4122737515942","0.0659970604233451","0.162667722770945","0.0352317478034203","0.0104947729127593","0.010959862574376","0.0934147963677334","0.0103731825171212","0.99963574716975"
"CbMPDiCbraya","Niche","Rhizosphere","DominantProcess","DL","DR","DR","DR","HoS","DR","DR","HoS","DR","HoS","DR","DR","DR","DR","DR","DR","DR","DR","HoS","DR","DR","DR","DL","HoS","DR","DL","DR","DL","DR","DL","DL","DR","HoS","DR","DL","DR","DR","DR","","DR","","DL","DR","HoS","HoS","DR","HoS","DR","DR","DR","DR","DR","DL","DR","HoS","","DR","DR","","DR","DR","","DR","DR","","DR","HeS","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","HoS","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DR","DL","DR","DR","DR","DR","DL","DL","DR","DL","DR","HoS","DR","DR","DR","DR","DR","DR","","DR","DL","DR","HoS","DR","DR","DR","HD","DR","","","HD","","","","DR","","","","","","","HoS","DR","DL","HoS","DR","DR","HoS","DL","DR","DL","HoS","DR","DR","DL","DR","HoS","DL","HeS","DL","HoS","HoS","DL","DL","HoS","DR"
