"z","module","p","roles","label","role_7"
0,"7",0,"Peripherals","","ultra peripheral"
0,"7",0,"Peripherals","","ultra peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
0.408248290463863,"3",0.5,"Peripherals","","peripheral"
0.408248290463863,"3",0.375,"Peripherals","","peripheral"
-0.816496580927726,"3",0.32,"Peripherals","","peripheral"
-0.816496580927726,"3",0,"Peripherals","","ultra peripheral"
-0.816496580927726,"3",0,"Peripherals","","ultra peripheral"
1.63299316185545,"3",0,"Peripherals","","ultra peripheral"
1.23326457106734,"2",0.5,"Peripherals","","peripheral"
0.379466021866874,"2",0.5,"Peripherals","","peripheral"
0.806365296467108,"2",0,"Peripherals","","ultra peripheral"
-0.0474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.0474332527333593,"2",0.5,"Peripherals","","peripheral"
-0.474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.0474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.474332527333593,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
2.51396239486804,"2",0,"Module hubs","bac_ASV_379","provincial hub"
-0.0474332527333593,"2",0,"Peripherals","","ultra peripheral"
0.379466021866874,"2",0,"Peripherals","","ultra peripheral"
-0.901231801933826,"2",0,"Peripherals","","ultra peripheral"
1.66016384566757,"2",0,"Peripherals","","ultra peripheral"
0.379466021866874,"2",0,"Peripherals","","ultra peripheral"
1.23326457106734,"2",0,"Peripherals","","ultra peripheral"
2.08706312026781,"2",0,"Peripherals","","ultra peripheral"
-0.158901027165629,"1",0,"Peripherals","","ultra peripheral"
0.258214169144147,"1",0,"Peripherals","","ultra peripheral"
